t,meter_12,meter_4
2015-07-01 07:17:00,139.789,-4795.61
2015-07-01 07:18:00,-3.99163,-5133.09
2015-07-01 07:19:00,345.762,-4679.46
2015-07-01 07:20:00,6.90913,-5150.92
2015-07-01 07:21:00,-63.807,-5031.92
2015-07-01 07:22:00,223.387,-4950.33
2015-07-01 07:23:00,-87.2931,-4975.76
2015-07-01 07:24:00,145.666,-4901.39
2015-07-01 07:25:00,47.8656,-4884.15
2015-07-01 07:26:00,175.437,-4316.31
2015-07-01 07:27:00,-109.12,-4520.26
2015-07-01 07:28:00,-189.205,2230.32
2015-07-01 07:29:00,-315.17,1191.86
2015-07-01 07:30:00,-293.974,1375.05
2015-07-01 07:31:00,-173.629,1307.5
2015-07-01 07:32:00,-236.915,-5163.58
2015-07-01 07:33:00,-201.085,-5275.93
2015-07-01 07:34:00,-208.035,-5196.02
2015-07-01 07:35:00,-69.9294,-5264.66
2015-07-01 07:36:00,-74.775,-5296.9
2015-07-01 07:37:00,16.3771,-5251.17
2015-07-01 07:38:00,174.291,-5014.29
2015-07-01 07:39:00,194.504,-4837.68
2015-07-01 07:40:00,192.821,-4762.82
2015-07-01 07:41:00,203.663,-4761.66
2015-07-01 07:42:00,115.42,-4803.02
2015-07-01 07:43:00,301.513,-4891.07
2015-07-01 07:44:00,227.898,-4884.6
2015-07-01 07:45:00,-92.9501,-5006.84
2015-07-01 07:46:00,-79.971,-4963.95
2015-07-01 07:47:00,-119.149,-5018.62
2015-07-01 07:48:00,-147.885,-4787.78
2015-07-01 07:49:00,-133.834,-5065.55
2015-07-01 07:50:00,492.46,-4664.43
2015-07-01 07:51:00,782.78,-4608.94
2015-07-01 07:52:00,831.232,-4602.18
2015-07-01 07:53:00,742.101,-4577.77
2015-07-01 07:54:00,728.031,-4831.37
2015-07-01 07:55:00,699.376,-4693.76
2015-07-01 07:56:00,599.842,-5035.5
2015-07-01 07:57:00,520.118,-5010.9
2015-07-01 07:58:00,510.256,-5224.95
2015-07-01 07:59:00,318.979,-5355.94
2015-07-01 08:00:00,-441.917,-6106.81
2015-07-01 08:01:00,-533.058,-6303.1
2015-07-01 08:02:00,-565.765,-6308.26
2015-07-01 08:03:00,-476.367,-6216.81
2015-07-01 08:04:00,-452.709,-6006.94
2015-07-01 08:05:00,-329.921,-6233.24
2015-07-01 08:06:00,1355.48,-5917.4
2015-07-01 08:07:00,596.545,-6109.36
2015-07-01 08:08:00,-318.374,-6055.19
2015-07-01 08:09:00,-286.344,-5911.7
2015-07-01 08:10:00,-357.594,-6133.66
2015-07-01 08:11:00,-447.624,-6194.67
2015-07-01 08:12:00,-460.436,-6222.41
2015-07-01 08:13:00,-662.121,-6277.13
